Keyword,Arg1,ARg2,,
,,,,
,,,,
WebBrowser,localhost:3000,,,
Register,testUser,testPasswd,Registration was successfully created.,
VerifyUsers,testUser,TRUE,,
SQLVerifier,registrations,Username,testUser,1
Register,testUser,testPasswd,1 error prohibited this registration from being saved:Username has already been taken,
VerifyUsers,testUser,TRUE,,
SQLVerifier,registrations,Username,testUser,1
DeleteUser,testUser,,,
VerifyUsers,testUser,FALSE,,
SQLVerifier,registrations,Username,testUser,0
WebBrowser,shutdown,,,
,,,,
,,,,
,,,,
WebBrowser,URL/shutdown,,,
Register,Username,Password,Expected Message on UI,
VerifyUsers,Username,True = exists; False = DNE,,
DeleteUser,Username,,,
SQLVerifier,Table,Column,value,CountReturned
